id,item_name,control_id,quantity,unit,supplier,location,stock_status,condition_status,remarks,laboratory,low_stock_threshold,created_at
119,21-pc Drive Socket Wrench Set,N/A,8,pcs,N/A,Mechanical Engineering Laboratory,In Stock,Available,,Mechanical Engineering Laboratory,5,2026-01-04 09:48:02.4158+00
120,Universal Testing Machine,N/A,1,pcs,Andsons,Civil Engineering Laboratory,In Stock,For Repairs,Equipment under maintenance repair,Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
121,Impact Hammer Drill,Makita,8,pcs,N/A,Mechanical Engineering Laboratory,In Stock,Available,,Mechanical Engineering Laboratory,3,2026-01-04 09:48:02.4158+00
122,Anemometer,N/A,1,pcs,N/A,Mechanical Engineering Laboratory,Low Stock,Available,,Mechanical Engineering Laboratory,3,2026-01-04 09:48:02.4158+00
123,Small Angle Grinder,Black Decker,1,pcs,N/A,Mechanical Engineering Laboratory,In Stock,For Repairs,,Mechanical Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
124,Side Cutting Pliers,Creston,8,pcs,N/A,Mechanical Engineering Laboratory,In Stock,Available,,Mechanical Engineering Laboratory,5,2026-01-04 09:48:02.4158+00
125,Long Nose Pliers,Creston,8,pcs,N/A,Mechanical Engineering Laboratory,In Stock,Available,,Mechanical Engineering Laboratory,5,2026-01-04 09:48:02.4158+00
126,Combination Pliers,Creston,8,pcs,N/A,Mechanical Engineering Laboratory,In Stock,Available,,Mechanical Engineering Laboratory,5,2026-01-04 09:48:02.4158+00
127,Aviation Snip,Creston,8,pcs,N/A,Mechanical Engineering Laboratory,In Stock,Available,,Mechanical Engineering Laboratory,5,2026-01-04 09:48:02.4158+00
128,Bomb Calorimeter,Optics Technology,1,pcs,Optics Technology,Mechanical Engineering Laboratory,In Stock,For Repairs,,Mechanical Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
129,Digital Bomb Calorimeter,Infitek,1,pcs,Infitek,Mechanical Engineering Laboratory,In Stock,Available,,Mechanical Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
130,Tower Pincer,N/A,5,pcs,N/A,Mechanical Engineering Laboratory,In Stock,Available,,Mechanical Engineering Laboratory,2,2026-01-04 09:48:02.4158+00
131,34-Piece Combination Tools,Creston CCS 885,8,pcs,N/A,Mechanical Engineering Laboratory,In Stock,Available,"2 pcs (ME Laboratory), 6 pcs (Central Storage Room)",Mechanical Engineering Laboratory,5,2026-01-04 09:48:02.4158+00
132,Inert Gas Welding Machine,Kawasaki MTM 300A,2,pcs,N/A,Mechanical Engineering Laboratory,In Stock,Available,,Mechanical Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
133,C2H2 Gas Tank,N/A,2,pcs,N/A,Mechanical Engineering Laboratory,In Stock,Available,,Mechanical Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
134,Industrial O2 Gas Tank,N/A,3,pcs,N/A,Mechanical Engineering Laboratory,In Stock,Available,,Mechanical Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
135,CO2 Gas Tank,N/A,2,pcs,N/A,Mechanical Engineering Laboratory,In Stock,Available,,Mechanical Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
136,Argon Gas Tank,N/A,2,pcs,N/A,Electrical Engineering Laboratory,In Stock,Available,,Electrical Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
137,Argon Gauge Meter,N/A,1,pcs,N/A,Mechanical Engineering Laboratory,In Stock,Available,,Mechanical Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
138,Welding and Cutting Tool,Harris BB2001,2,pcs,N/A,Mechanical Engineering Laboratory,Low Stock,Available,,Mechanical Engineering Laboratory,10,2026-01-04 09:48:02.4158+00
139,Flash and Fire Point Apparatus,ASTM D92,1,pcs,N/A,Mechanical Engineering Laboratory,In Stock,Available,,Mechanical Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
140,Plastic Toolbox,N/A,8,pcs,N/A,Mechanical Engineering Laboratory,In Stock,Available,"6 pcs (CSR), 2 pcs (ME Lab)",Mechanical Engineering Laboratory,5,2026-01-04 09:48:02.4158+00
141,Flow Meter,ESSOM HBO16,1,pcs,Andsons,Mechanical Engineering Laboratory,In Stock,Available,,Mechanical Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
142,Pitot Tube Apparatus,HBO16P,1,pcs,Andsons,Mechanical Engineering Laboratory,Low Stock,Available,,Mechanical Engineering Laboratory,10,2026-01-04 09:48:02.4158+00
143,Flue Gas Analyzer,IMR B580B450,1,pcs,N/A,Mechanical Engineering Laboratory,In Stock,Available,,Mechanical Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
144,Deadweight Tester,Ravika DW30,2,pcs,N/A,Mechanical Engineering Laboratory,In Stock,Available,"Serial No.: 21077, 21078",Mechanical Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
145,Deadweight Calibrator,FM-1849-18,1,pcs,Humil International Inc.,Mechanical Engineering Laboratory,In Stock,Available,Serial No.: 4966-036-02,Mechanical Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
146,Cleveland Flash Tester,N/A,1,pcs,Humil International Inc.,Mechanical Engineering Laboratory,In Stock,Available,,Mechanical Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
147,Vacuum Gauge Tester,Ravika DT55,2,pcs,N/A,Mechanical Engineering Laboratory,In Stock,Available,"Serial No.: 21079, 21080",Mechanical Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
148,Saybolt Two-Tube Digital Viscometer,Saybolt,1,pcs,N/A,Mechanical Engineering Laboratory,Low Stock,Available,Serial No.: 22/HRSVC3,Mechanical Engineering Laboratory,10,2026-01-04 09:48:02.4158+00
149,Arc Welding Machine,Makita,4,pcs,N/A,Mechanical Engineering Laboratory,In Stock,Available,,Mechanical Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
150,Osborne Reynold Apparatus,ESSOM HB024,1,pcs,N/A,Mechanical Engineering Laboratory,In Stock,Available,,Mechanical Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
151,Brass Manifold Gauge Meter,N/A,1,pcs,N/A,Mechanical Engineering Laboratory,Low Stock,Available,,Mechanical Engineering Laboratory,10,2026-01-04 09:48:02.4158+00
152,Circular Saw,Schaffen TGS-CS-76304,1,pcs,N/A,Mechanical Engineering Laboratory,Low Stock,Available,,Mechanical Engineering Laboratory,10,2026-01-04 09:48:02.4158+00
153,Finishing Sander,Makita BO4556,1,pcs,N/A,Mechanical Engineering Laboratory,In Stock,Available,,Mechanical Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
154,Electric Planer,Stanley STEL630,1,pcs,N/A,Mechanical Engineering Laboratory,Low Stock,Available,,Mechanical Engineering Laboratory,10,2026-01-04 09:48:02.4158+00
155,Mini Multipurpose Machine,N/A,1,pcs,N/A,Mechanical Engineering Laboratory,In Stock,Available,,Mechanical Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
156,Refrigerant Tanks,N/A,2,pcs,N/A,Mechanical Engineering Laboratory,Low Stock,Available,1 pc. (2-Kg) and 1 pc. (1-Kg),Mechanical Engineering Laboratory,10,2026-01-04 09:48:02.4158+00
157,Flue Gas Analyzer,KANE 455,1,pcs,Humil International Inc.,Mechanical Engineering Laboratory,In Stock,For Repairs,,Mechanical Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
158,NDT Hardness Tester,N/A,1,pcs,Humil International Inc.,Mechanical Engineering Laboratory,Low Stock,Available,,Mechanical Engineering Laboratory,10,2026-01-04 09:48:02.4158+00
159,NDT Ultrasonic Tester,Controls 59-E4810,1,pcs,Humil International Inc.,Mechanical Engineering Laboratory,In Stock,Available,,Mechanical Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
160,Single Stage Air Compressor Test Rig,Puma TH-3135,1,pcs,N/A,Mechanical Engineering Laboratory,In Stock,Available,,Mechanical Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
161,Refrigeration Trainer,N/A,1,pcs,Andsons,Mechanical Engineering Laboratory,In Stock,Available,,Mechanical Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
162,Mini Steam Powerplant,N/A,1,pcs,Andsons,Mechanical Engineering Laboratory,In Stock,Available,,Mechanical Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
163,High Precision Lathe Machine,Pro Richyoung Ind. RIC-T130E,2,pcs,N/A,Mechanical Engineering Laboratory,In Stock,Available,,Mechanical Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
164,Mini Bench Lathe Machine,Sumore SP2102,2,pcs,N/A,Mechanical Engineering Laboratory,In Stock,Available,,Mechanical Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
165,Deflection of Beam Apparatus,N/A,1,pcs,Humil International Inc.,Mechanical Engineering Laboratory,In Stock,Available,,Mechanical Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
166,Fan and Blower,THR 11A,1,pcs,Humil International Inc.,Mechanical Engineering Laboratory,In Stock,Available,,Mechanical Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
167,Brinell Hardness Tester,N/A,1,pcs,Humil International Inc.,Mechanical Engineering Laboratory,In Stock,Available,,Mechanical Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
168,Single Cylinder Engine Test Bed,ESSOM MT502C,1,pcs,N/A,Mechanical Engineering Laboratory,In Stock,Available,,Mechanical Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
169,Vertical Turret Milling Machine,3KVS,1,pcs,N/A,Mechanical Engineering Laboratory,In Stock,Available,,Mechanical Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
170,Viscometer,Saybolt SDN-180,1,pcs,N/A,Mechanical Engineering Laboratory,In Stock,Available,,Mechanical Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
171,Steel Bar Bender,GW 40,1,pcs,N/A,Mechanical Engineering Laboratory,In Stock,Available,,Mechanical Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
172,CNC Small Lathe Machine,Yornew,1,pcs,Humil International Inc.,Mechanical Engineering Laboratory,In Stock,Available,,Mechanical Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
173,Mini Pelton Tube,N/A,1,pcs,Andsons,Mechanical Engineering Laboratory,In Stock,Available,,Mechanical Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
174,Hydraulic Bench,ESSOM HB100N,1,pcs,N/A,Mechanical Engineering Laboratory,Low Stock,Available,0,Mechanical Engineering Laboratory,10,2026-01-04 09:48:02.4158+00
188,Dell Laptop,"Dell Inspiron 3501, Intel Core i3-1125G4 4GB, 15in",1,pcs,N/A,Computer Laboratory,Low Stock,Available,c/o Sir Tams,Computer Laboratory,1,2026-01-04 09:48:02.4158+00
189,Digital Theory and Experimentation using Integrated Circuits (Book),Levine,7,pcs,N/A,Computer Laboratory,In Stock,Available,N/A,Computer Laboratory,1,2026-01-04 09:48:02.4158+00
190,Wifi Modem,Tp-Link TL-WR840N,10,pcs,N/A,Computer Laboratory,In Stock,Available,N/A,Computer Laboratory,1,2026-01-04 09:48:02.4158+00
191,RSLogix,Festo,9,pcs,N/A,Computer Laboratory,In Stock,Available,Missing: 1x CD,Computer Laboratory,1,2026-01-04 09:48:02.4158+00
192,BNC (M) 20 AWG Leads,RANDALL,3,pcs,N/A,Computer Laboratory,Low Stock,Available,N/A,Computer Laboratory,10,2026-01-04 09:48:02.4158+00
193,BNC (M) 20 AWG Leads,POMONA,8,pcs,N/A,Computer Laboratory,In Stock,Available,N/A,Computer Laboratory,1,2026-01-04 09:48:02.4158+00
194,BNC (F) 20 AWG Leads,POMONA,8,pcs,N/A,Computer Laboratory,In Stock,Available,N/A,Computer Laboratory,1,2026-01-04 09:48:02.4158+00
195,USB-Serial Adapter,FTDI CHIP,2,pcs,N/A,Computer Laboratory,In Stock,Available,N/A,Computer Laboratory,1,2026-01-04 09:48:02.4158+00
196,PC To Micrologic Comms. cable,FESTO,10,pcs,N/A,Computer Laboratory,In Stock,Available,N/A,Computer Laboratory,1,2026-01-04 09:48:02.4158+00
197,USB-RS232 ADAPTER CABLE,FTDI CHIP,10,pcs,N,Computer Laboratory,In Stock,Available,,Computer Laboratory,1,2026-01-04 09:48:02.4158+00
198,Digital Multimeter with USB,Mastech M8250D,10,pcs,N/A,Computer Laboratory,In Stock,Available,Missing 1PC,Computer Laboratory,1,2026-01-04 09:48:02.4158+00
199,Arduino Components,N/A,15,pcs,N/A,Computer Laboratory,In Stock,Available,N/A,Computer Laboratory,1,2026-01-04 09:48:02.4158+00
200,Yellow Toolbox,"Contents: 5x4"" phillips screwdriver, 6x4"" flat scr",2,pcs,N/A,Computer Laboratory,Low Stock,Available,N/A,Computer Laboratory,10,2026-01-04 09:48:02.4158+00
201,45 in 1 Sensor Module Starter Kit,N/A,15,pcs,N/A,Computer Laboratory,In Stock,Available,N/A,Computer Laboratory,1,2026-01-04 09:48:02.4158+00
202,Arduino Coding Set,BRK-125697,30,pcs,N/A,Computer Laboratory,In Stock,Available,N/A,Computer Laboratory,1,2026-01-04 09:48:02.4158+00
203,Programmable Logic Controller Basic Programming,"Programmable Logic Controller (AB MicroLogix 1100 ",10,pcs,N/A,Computer Laboratory,In Stock,Available,"Instructor Guide (1st Box 5pcs, 2nd Box 5pcs) 3052288100000\r\n\r\nStudent Guide (1st Box 5pcs, 2nd Box 5pcs) 3052288110000",Computer Laboratory,1,2026-01-04 09:48:02.4158+00
204,Digital Lab Package,@remarks,7,pcs,N/A,Computer Laboratory,In Stock,Available,"Includes: 7x 1box Digital Lab Unit IDL-800A, 25pcs connecting wire, 5pcs 2x pin, power cable, breadboard, 7x 1kit Digital Overlay Learning System manual, IC kit, 6 switches, 2 potentiometer, breadboard, schematic diagrams, stencil, 7x Jump Wire Kit",Computer Laboratory,1,2026-01-04 09:48:02.4158+00
